City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
350,rusape,12,ZW,1540091789,86,-18.53,32.12,55.0,10.65
351,dullewala,0,PK,1540091790,75,31.84,71.44,64.63,4.05
352,inhambane,0,MZ,1540091265,95,-23.87,35.38,68.18,19.6
353,codrington,64,AU,1540091790,82,-28.95,153.24,72.95,3.27
354,port hardy,75,CA,1540090800,93,50.7,-127.42,44.6,3.36
355,andros town,20,BS,1540087200,88,24.73,-77.79,77.0,4.94
356,ziniare,0,BF,1540087200,74,12.58,-1.3,78.8,2.93
357,makakilo city,1,US,1540087020,48,21.35,-158.09,86.0,6.93
358,gornopravdinsk,92,RU,1540091792,99,60.06,69.92,31.55,6.62
359,bud,90,NO,1540090200,93,62.91,6.91,51.8,17.22
360,sao joao da barra,92,BR,1540091792,100,-21.64,-41.05,71.06,14.56
361,nemuro,20,JP,1540087200,48,43.32,145.57,60.8,9.17
362,mpanda,64,TZ,1540091793,95,-6.34,31.07,61.88,2.71
363,richards bay,80,ZA,1540091793,91,-28.77,32.06,57.56,18.48
364,port lincoln,0,AU,1540091794,74,-34.72,135.86,68.0,11.99
365,paita,20,PE,1540091794,80,-5.09,-81.11,67.33,7.63
366,komsomolskiy,68,RU,1540091795,94,67.55,63.78,18.28,8.63
367,raudeberg,100,NO,1540088400,100,61.99,5.14,51.8,18.34
368,otavalo,64,EC,1540091796,87,0.23,-78.26,47.57,1.92
369,grand-lahou,12,CI,1540091796,97,5.24,-5.0,73.9,3.04
370,kulhudhuffushi,92,MV,1540091796,100,6.62,73.07,82.63,2.93
371,la plata,75,AR,1540087200,100,-34.92,-57.95,62.6,4.7
372,muzhi,80,RU,1540091797,91,65.4,64.7,28.76,13.0
373,annau,0,TM,1540087200,75,37.89,58.52,46.4,6.93
374,albury,0,AU,1540090800,37,-36.08,146.92,68.0,5.82
375,kondinskoye,88,RU,1540091798,97,59.65,67.41,30.92,9.08
376,flinders,75,AU,1540087200,55,-34.58,150.85,66.2,10.29
377,molteno,32,ZA,1540091799,90,-31.4,26.36,28.49,5.17
378,tadine,32,NC,1540091800,92,-21.55,167.88,76.33,18.37
379,husavik,92,CA,1540091800,82,50.56,-96.99,33.44,10.09
380,northam,0,GB,1540086600,93,51.04,-4.21,46.4,1.12
